                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50442,                0.42532,                0.85756,                0.99571,                      1,                  0.995,                0.91836,                 0.3666,                0.30487,                0.79271,                0.00307,                0.00307,                0.00307
                     37,                0.49628,                 0.4139,                0.85717,                0.99031,                0.99491,                0.99492,                0.92985,                0.36862,                0.28258,                 0.7887,               0.002872,               0.002872,               0.002872
                     38,                0.48994,                0.41342,                0.86467,                0.99811,                      1,                  0.995,                 0.9186,                 0.3942,                0.29625,                0.79715,               0.002674,               0.002674,               0.002674
                     39,                0.47484,                0.39997,                0.85358,                0.99743,                      1,                  0.995,                0.92208,                0.36397,                0.27743,                0.78857,               0.002476,               0.002476,               0.002476
                     40,                0.46651,                 0.3938,                0.84737,                0.99692,                      1,                  0.995,                0.91574,                0.37419,                0.27959,                0.79099,               0.002278,               0.002278,               0.002278
                     41,                0.46256,                0.39933,                0.84691,                0.99655,                      1,                  0.995,                0.91483,                0.38074,                0.28046,                0.79066,                0.00208,                0.00208,                0.00208
                     42,                0.45636,                0.38757,                 0.8484,                0.98997,                      1,                0.99459,                0.92581,                0.36161,                0.27768,                0.79128,               0.001882,               0.001882,               0.001882
                     43,                0.45148,                0.39538,                0.84811,                0.98275,                0.99979,                0.99367,                0.91801,                0.39934,                0.28846,                0.80368,               0.001684,               0.001684,               0.001684
                     44,                0.44382,                 0.3737,                0.84343,                0.98967,                      1,                0.99475,                0.92609,                0.36765,                0.27408,                0.78902,               0.001486,               0.001486,               0.001486
                     45,                0.42403,                0.37062,                0.83817,                0.99761,                      1,                  0.995,                0.93203,                0.34003,                0.25674,                 0.7829,               0.001288,               0.001288,               0.001288
                     46,                 0.4257,                0.36196,                0.84294,                0.98887,                      1,                0.99492,                0.93633,                0.33265,                 0.2539,                 0.7796,                0.00109,                0.00109,                0.00109
                     47,                0.41182,                 0.3592,                0.83442,                0.98972,                      1,                0.99475,                0.92718,                0.34925,                0.25913,                0.78473,               0.000892,               0.000892,               0.000892
                     48,                0.41023,                0.35346,                0.83729,                0.98999,                0.99993,                0.99492,                0.92627,                0.34225,                0.25553,                0.78132,               0.000694,               0.000694,               0.000694
                     49,                0.40216,                0.36161,                0.83922,                0.99013,                      1,                0.99475,                0.94122,                0.30394,                0.24598,                0.77358,               0.000496,               0.000496,               0.000496
